Msg-num|Receive time [ms]|Mware time [s]|Send time [nm]|Mail time [s]|Send-to-Server[ms]|Mware-to-Server[s]|Send-to-Mware[s]|Send-to-Email[s]|Mware-to-Email[s]
22|1591890347446|1591889896|1591889894801449100|1591889897|452645|451|2|3|1
23|1591890510370|1591890508|1591890507336881934|1591890510|3034|2|1|3|2
23|1591890580421|1591890508|1591890507336881934|1591890510|73085|72|1|3|2
23|1591890710467|1591890508|1591890507336881934|1591890510|203131|202|1|3|2
23|1591890960511|1591890508|1591890507336881934|1591890510|453175|452|1|3|2
24|1591891123403|1591891122|1591891120331042321|1591891123|3072|1|2|3|1
24|1591891193446|1591891122|1591891120331042321|1591891123|73115|71|2|3|1
24|1591891323487|1591891122|1591891120331042321|1591891123|203156|201|2|3|1
24|1591891573542|1591891122|1591891120331042321|1591891123|453211|451|2|3|1
25|1591891736779|1591891735|1591891733926461316|1591891736|2853|1|2|3|1
25|1591891806823|1591891735|1591891733926461316|1591891736|72897|71|2|3|1
25|1591891936869|1591891735|1591891733926461316|1591891736|202943|201|2|3|1
25|1591892186920|1591891735|1591891733926461316|1591891736|452994|451|2|3|1
26|1591892349075|1591892348|1591892346467265632|1591892348|2608|1|2|2|0
26|1591892419113|1591892348|1591892346467265632|1591892348|72646|71|2|2|0
26|1591892549166|1591892348|1591892346467265632|1591892348|202699|201|2|2|0
26|1591892799214|1591892348|1591892346467265632|1591892348|452747|451|2|2|0
27|1591892961719|1591892961|1591892959060223886|1591892961|2659|0|2|2|0
27|1591893031765|1591892961|1591892959060223886|1591892961|72705|70|2|2|0
27|1591893161808|1591892961|1591892959060223886|1591892961|202748|200|2|2|0
27|1591893411852|1591892961|1591892959060223886|1591892961|452792|450|2|2|0
28|1591893575136|1591893573|1591893572099214121|1591893575|3037|2|1|3|2
28|1591893645196|1591893573|1591893572099214121|1591893575|73097|72|1|3|2
28|1591893775229|1591893573|1591893572099214121|1591893575|203130|202|1|3|2
28|1591894025284|1591893573|1591893572099214121|1591893575|453185|452|1|3|2
29|1591894187378|1591894186|1591894184458967390|1591894187|2920|1|2|3|1
29|1591894257422|1591894186|1591894184458967390|1591894187|72964|71|2|3|1
29|1591894387473|1591894186|1591894184458967390|1591894187|203015|201|2|3|1
29|1591894637513|1591894186|1591894184458967390|1591894187|453055|451|2|3|1
30|1591894799638|1591894798|1591894797010996073|1591894799|2628|1|1|2|1
30|1591894869691|1591894798|1591894797010996073|1591894799|72681|71|1|2|1
30|1591894999739|1591894798|1591894797010996073|1591894799|202729|201|1|2|1
30|1591895249782|1591894798|1591894797010996073|1591894799|452772|451|1|2|1
31|1591895413831|1591895411|1591895409808752300|1591895413|4023|2|2|4|2
31|1591895483882|1591895411|1591895409808752300|1591895413|74074|72|2|4|2
31|1591895613987|1591895411|1591895409808752300|1591895413|204179|202|2|4|2
31|1591895864034|1591895411|1591895409808752300|1591895413|454226|453|2|4|2
32|1591896024763|1591896023|1591896022214824437|1591896024|2549|1|1|2|1
32|1591896094800|1591896023|1591896022214824437|1591896024|72586|71|1|2|1
32|1591896224842|1591896023|1591896022214824437|1591896024|202628|201|1|2|1
32|1591896474892|1591896023|1591896022214824437|1591896024|452678|451|1|2|1
33|1591896637542|1591896636|1591896635049528134|1591896637|2493|1|1|2|1
33|1591896707592|1591896636|1591896635049528134|1591896637|72543|71|1|2|1
33|1591896837632|1591896636|1591896635049528134|1591896637|202583|201|1|2|1
33|1591897087756|1591896636|1591896635049528134|1591896637|452707|451|1|2|1
34|1591897250737|1591897248|1591897247642487572|1591897250|3095|2|1|3|2
34|1591897320780|1591897248|1591897247642487572|1591897250|73138|72|1|3|2
34|1591897450830|1591897248|1591897247642487572|1591897250|203188|202|1|3|2
34|1591897700882|1591897248|1591897247642487572|1591897250|453240|452|1|3|2
35|1591897862779|1591897861|1591897860014934455|1591897862|2765|1|1|2|1
35|1591897932837|1591897861|1591897860014934455|1591897862|72823|71|1|2|1
35|1591898062873|1591897861|1591897860014934455|1591897862|202859|201|1|2|1
35|1591898312948|1591897861|1591897860014934455|1591897862|452934|451|1|2|1
36|1591898476242|1591898474|1591898472360435470|1591898476|3882|2|2|4|2
36|1591898546262|1591898474|1591898472360435470|1591898476|73902|72|2|4|2
36|1591898676328|1591898474|1591898472360435470|1591898476|203968|202|2|4|2
36|1591898926367|1591898474|1591898472360435470|1591898476|454007|452|2|4|2
37|1591899089163|1591899087|1591899085338299033|1591899089|3825|2|2|4|2
37|1591899159212|1591899087|1591899085338299033|1591899089|73874|72|2|4|2
37|1591899289262|1591899087|1591899085338299033|1591899089|203924|202|2|4|2
37|1591899539314|1591899087|1591899085338299033|1591899089|453976|452|2|4|2
38|1591899702197|1591899700|1591899698645717259|1591899702|3552|2|2|4|2
38|1591899772245|1591899700|1591899698645717259|1591899702|73600|72|2|4|2
38|1591899902301|1591899700|1591899698645717259|1591899702|203656|202|2|4|2
38|1591900152348|1591899700|1591899698645717259|1591899702|453703|452|2|4|2
39|1591900313958|1591900312|1591900311417033009|1591900313|2541|1|1|2|1
39|1591900384011|1591900312|1591900311417033009|1591900313|72594|72|1|2|1
39|1591900514060|1591900312|1591900311417033009|1591900313|202643|202|1|2|1
39|1591900764108|1591900312|1591900311417033009|1591900313|452691|452|1|2|1
40|1591900926407|1591900926|1591900923973710540|1591900926|2434|0|3|3|0
40|1591900996451|1591900926|1591900923973710540|1591900926|72478|70|3|3|0
40|1591901126501|1591900926|1591900923973710540|1591900926|202528|200|3|3|0
40|1591901376541|1591900926|1591900923973710540|1591900926|452568|450|3|3|0
41|1591901539650|1591901538|1591901536542612262|1591901539|3108|1|2|3|1
41|1591901609691|1591901538|1591901536542612262|1591901539|73149|71|2|3|1
41|1591901739741|1591901538|1591901536542612262|1591901539|203199|201|2|3|1
41|1591901989799|1591901538|1591901536542612262|1591901539|453257|451|2|3|1
42|1591902152251|1591902150|1591902149548147750|1591902152|2703|2|1|3|2
42|1591902222295|1591902150|1591902149548147750|1591902152|72747|72|1|3|2
42|1591902352343|1591902150|1591902149548147750|1591902152|202795|202|1|3|2
42|1591902602381|1591902150|1591902149548147750|1591902152|452833|452|1|3|2
43|1591902764883|1591902764|1591902762307195802|1591902764|2576|0|2|2|0
43|1591902834918|1591902764|1591902762307195802|1591902764|72611|70|2|2|0
43|1591902964969|1591902764|1591902762307195802|1591902764|202662|200|2|2|0
43|1591903215021|1591902764|1591902762307195802|1591902764|452714|451|2|2|0
44|1591903377141|1591903376|1591903374585519467|1591903377|2556|1|2|3|1
44|1591903447184|1591903376|1591903374585519467|1591903377|72599|71|2|3|1
44|1591903577229|1591903376|1591903374585519467|1591903377|202644|201|2|3|1
44|1591903827290|1591903376|1591903374585519467|1591903377|452705|451|2|3|1
45|1591903990920|1591903989|1591903987746277007|1591903990|3174|1|2|3|1
45|1591904060969|1591903989|1591903987746277007|1591903990|73223|71|2|3|1
45|1591904191024|1591903989|1591903987746277007|1591903990|203278|202|2|3|1
45|1591904441068|1591903989|1591903987746277007|1591903990|453322|452|2|3|1
46|1591904603158|1591904601|1591904600566240964|1591904603|2592|2|1|3|2
46|1591904673209|1591904601|1591904600566240964|1591904603|72643|72|1|3|2
46|1591904803259|1591904601|1591904600566240964|1591904603|202693|202|1|3|2
46|1591905053307|1591904601|1591904600566240964|1591904603|452741|452|1|3|2
47|1591905216099|1591905215|1591905213622588787|1591905216|2477|1|2|3|1
47|1591905286155|1591905215|1591905213622588787|1591905216|72533|71|2|3|1
47|1591905416224|1591905215|1591905213622588787|1591905216|202602|201|2|3|1
47|1591905666274|1591905215|1591905213622588787|1591905216|452652|451|2|3|1
48|1591905830254|1591905828|1591905827027492872|1591905830|3227|2|1|3|2
48|1591905900305|1591905828|1591905827027492872|1591905830|73278|72|1|3|2
48|1591906030346|1591905828|1591905827027492872|1591905830|203319|202|1|3|2
48|1591906280390|1591905828|1591905827027492872|1591905830|453363|452|1|3|2
49|1591906442643|1591906442|1591906440102498048|1591906442|2541|0|2|2|0
49|1591906512692|1591906442|1591906440102498048|1591906442|72590|70|2|2|0
49|1591906642736|1591906442|1591906440102498048|1591906442|202634|200|2|2|0
49|1591906892787|1591906442|1591906440102498048|1591906442|452685|450|2|2|0
50|1591907057176|1591907055|1591907054075451964|1591907057|3101|2|1|3|2
50|1591907127228|1591907055|1591907054075451964|1591907057|73153|72|1|3|2
50|1591907257274|1591907055|1591907054075451964|1591907057|203199|202|1|3|2
50|1591907507319|1591907055|1591907054075451964|1591907057|453244|452|1|3|2
51|1591907669344|1591907668|1591907666789642760|1591907669|2555|1|2|3|1
51|1591907739390|1591907668|1591907666789642760|1591907669|72601|71|2|3|1
51|1591907869464|1591907668|1591907666789642760|1591907669|202675|201|2|3|1
51|1591908119520|1591907668|1591907666789642760|1591907669|452731|451|2|3|1
52|1591908282099|1591908281|1591908279664607676|1591908282|2435|1|2|3|1
52|1591908352149|1591908281|1591908279664607676|1591908282|72485|71|2|3|1
52|1591908482191|1591908281|1591908279664607676|1591908282|202527|201|2|3|1
52|1591908732238|1591908281|1591908279664607676|1591908282|452574|451|2|3|1
53|1591908896976|1591908894|1591908892957948438|1591908896|4019|2|2|4|2
53|1591908967018|1591908894|1591908892957948438|1591908896|74061|73|2|4|2
53|1591909097061|1591908894|1591908892957948438|1591908896|204104|203|2|4|2
53|1591909347108|1591908894|1591908892957948438|1591908896|454151|453|2|4|2
54|1591909508442|1591909506|1591909505631718327|1591909508|2811|2|1|3|2
54|1591909578481|1591909506|1591909505631718327|1591909508|72850|72|1|3|2
54|1591909708541|1591909506|1591909505631718327|1591909508|202910|202|1|3|2
54|1591909958592|1591909506|1591909505631718327|1591909508|452961|452|1|3|2
55|1591910120368|1591910119|1591910117795695340|1591910120|2573|1|2|3|1
55|1591910190416|1591910119|1591910117795695340|1591910120|72621|71|2|3|1
55|1591910320491|1591910119|1591910117795695340|1591910120|202696|201|2|3|1
55|1591910570526|1591910119|1591910117795695340|1591910120|452731|451|2|3|1
56|1591910733334|1591910732|1591910730808225599|1591910733|2526|1|2|3|1
56|1591910803373|1591910732|1591910730808225599|1591910733|72565|71|2|3|1
56|1591910933426|1591910732|1591910730808225599|1591910733|202618|201|2|3|1
56|1591911183477|1591910732|1591910730808225599|1591910733|452669|451|2|3|1
57|1591911346232|1591911345|1591911343808569907|1591911346|2424|1|2|3|1
57|1591911416291|1591911345|1591911343808569907|1591911346|72483|71|2|3|1
57|1591911546353|1591911345|1591911343808569907|1591911346|202545|201|2|3|1
57|1591911796398|1591911345|1591911343808569907|1591911346|452590|451|2|3|1
58|1591911959581|1591911959|1591911957122454932|1591911959|2459|0|2|2|0
58|1591912029645|1591911959|1591911957122454932|1591911959|72523|70|2|2|0
58|1591912159693|1591911959|1591911957122454932|1591911959|202571|200|2|2|0
58|1591912409735|1591911959|1591911957122454932|1591911959|452613|450|2|2|0
59|1591912572170|1591912571|1591912569710844962|1591912572|2460|1|2|3|1
59|1591912642225|1591912571|1591912569710844962|1591912572|72515|71|2|3|1
59|1591912772267|1591912571|1591912569710844962|1591912572|202557|201|2|3|1
59|1591913022314|1591912571|1591912569710844962|1591912572|452604|451|2|3|1
60|1591913186548|1591913184|1591913183329895538|1591913186|3219|2|1|3|2
60|1591913256596|1591913184|1591913183329895538|1591913186|73267|72|1|3|2
60|1591913386643|1591913184|1591913183329895538|1591913186|203314|202|1|3|2
60|1591913636687|1591913184|1591913183329895538|1591913186|453358|452|1|3|2
61|1591913799288|1591913798|1591913796798168912|1591913799|2490|1|2|3|1
61|1591913869331|1591913798|1591913796798168912|1591913799|72533|71|2|3|1
61|1591913999380|1591913798|1591913796798168912|1591913799|202582|201|2|3|1
61|1591914249429|1591913798|1591913796798168912|1591913799|452631|451|2|3|1
62|1591914412009|1591914411|1591914409455010427|1591914411|2554|1|2|2|0
62|1591914482055|1591914411|1591914409455010427|1591914411|72600|71|2|2|0
62|1591914612098|1591914411|1591914409455010427|1591914411|202643|201|2|2|0
62|1591914862140|1591914411|1591914409455010427|1591914411|452685|451|2|2|0
63|1591915025521|1591915024|1591915022900832344|1591915025|2621|1|2|3|1
63|1591915096557|1591915024|1591915022900832344|1591915025|73657|72|2|3|1
63|1591915226602|1591915024|1591915022900832344|1591915025|203702|202|2|3|1
63|1591915476652|1591915024|1591915022900832344|1591915025|453752|452|2|3|1
64|1591915638685|1591915637|1591915635914106375|1591915638|2771|1|2|3|1
64|1591915708719|1591915637|1591915635914106375|1591915638|72805|71|2|3|1
64|1591915838763|1591915637|1591915635914106375|1591915638|202849|201|2|3|1
64|1591916088809|1591915637|1591915635914106375|1591915638|452895|451|2|3|1
65|1591916251244|1591916250|1591916248721640217|1591916251|2523|1|2|3|1
65|1591916321295|1591916250|1591916248721640217|1591916251|72574|71|2|3|1
65|1591916451341|1591916250|1591916248721640217|1591916251|202620|201|2|3|1
65|1591916701397|1591916250|1591916248721640217|1591916251|452676|451|2|3|1
66|1591916864612|1591916863|1591916862075124031|1591916864|2537|1|1|2|1
66|1591916934655|1591916863|1591916862075124031|1591916864|72580|71|1|2|1
66|1591917064707|1591916863|1591916862075124031|1591916864|202632|201|1|2|1
