Msg-num|Receive time [ms]|Mware time [s]|Send time [nm]|Mail time [s]|Send-to-Server[ms]|Mware-to-Server[s]|Send-to-Mware[s]|Send-to-Email[s]|Mware-to-Email[s]
1886|1593033574925|1593033573|1593033572222694447|1593033574|2703|1|1|2|1
1887|1593034187949|1593034185|1593034184784879473|1593034187|3165|2|1|3|2
1888|1593034800013|1593034799|1593034797583917161|1593034799|2430|1|2|2|0
1889|1593035412427|1593035411|1593035409962526412|1593035412|2465|1|2|3|1
1890|1593036025449|1593036024|1593036022996156517|1593036025|2453|1|2|3|1
1891|1593036638626|1593036637|1593036635366970137|1593036638|3260|1|2|3|1
1892|1593037251109|1593037249|1593037248338799274|1593037251|2771|2|1|3|2
1893|1593037863768|1593037863|1593037861356431842|1593037863|2412|0|2|2|0
1894|1593038477284|1593038476|1593038474370039523|1593038477|2914|1|2|3|1
1895|1593039090640|1593039089|1593039087438289209|1593039090|3202|1|2|3|1
1896|1593039702577|1593039701|1593039699863749896|1593039702|2714|1|2|3|1
1897|1593040315412|1593040314|1593040312918576557|1593040315|2494|1|2|3|1
1898|1593040928852|1593040927|1593040925750868208|1593040928|3102|1|2|3|1
1899|1593041541119|1593041539|1593041538171372234|1593041541|2948|2|1|3|2
1900|1593042153243|1593042152|1593042150720981089|1593042153|2523|1|2|3|1
1901|1593042765791|1593042764|1593042763280868011|1593042765|2511|1|1|2|1
1902|1593043378717|1593043377|1593043376278454238|1593043378|2439|1|1|2|1
1903|1593043991992|1593043990|1593043989066119506|1593043991|2926|1|1|2|1
1904|1593044604313|1593044603|1593044601874914262|1593044604|2439|1|2|3|1
1905|1593045216871|1593045215|1593045214432777419|1593045216|2439|1|1|2|1
1906|1593045829488|1593045828|1593045827020208226|1593045829|2468|1|1|2|1
1907|1593046442213|1593046441|1593046439772338727|1593046442|2441|1|2|3|1
1908|1593047054901|1593047053|1593047052324137868|1593047054|2577|1|1|2|1
1909|1593047668726|1593047668|1593047666181872498|1593047668|2545|0|2|2|0
1910|1593048282424|1593048280|1593048278764592484|1593048282|3660|2|2|4|2
1911|1593048894074|1593048892|1593048891560953678|1593048893|2514|2|1|2|1
1912|1593049507614|1593049505|1593049503957566965|1593049507|3657|2|2|4|2
1913|1593050119376|1593050118|1593050116922771279|1593050119|2454|1|2|3|1
1914|1593050732388|1593050731|1593050729891035163|1593050732|2497|1|2|3|1
1915|1593051346112|1593051344|1593051342888464671|1593051346|3224|2|2|4|2
1916|1593051958290|1593051957|1593051955841247667|1593051958|2449|1|2|3|1
1917|1593052570675|1593052570|1593052568193710872|1593052570|2482|0|2|2|0
1918|1593053183679|1593053182|1593053181216212590|1593053183|2463|1|1|2|1
1919|1593053796602|1593053795|1593053794172498882|1593053796|2430|1|1|2|1
1920|1593054409651|1593054409|1593054407157341740|1593054409|2494|0|2|2|0
1921|1593055023923|1593055022|1593055020148586569|1593055023|3775|1|2|3|1
1922|1593055635747|1593055634|1593055633141489590|1593055635|2606|1|1|2|1
1923|1593056248445|1593056247|1593056245971940837|1593056248|2474|1|2|3|1
1924|1593056861149|1593056860|1593056858732782850|1593056861|2417|1|2|3|1
1925|1593057474791|1593057473|1593057471513039092|1593057474|3278|1|2|3|1
1926|1593058087744|1593058086|1593058084510087722|1593058087|3234|1|2|3|1
1927|1593058701889|1593058698|1593058697286995277|1593058700|4603|3|1|3|2
1928|1593059312328|1593059311|1593059309890646850|1593059312|2438|1|2|3|1
1929|1593059926064|1593059924|1593059922850576185|1593059925|3214|2|2|3|1
1930|1593060538780|1593060537|1593060535835078479|1593060538|2945|1|2|3|1
1931|1593061151612|1593061149|1593061148447081345|1593061151|3165|2|1|3|2
1932|1593061764217|1593061763|1593061761431336802|1593061764|2786|1|2|3|1
1933|1593062376518|1593062375|1593062374027191335|1593062376|2491|1|1|2|1
1934|1593062989342|1593062987|1593062986865723308|1593062989|2477|2|1|3|2
1935|1593063602952|1593063601|1593063599625159882|1593063602|3327|1|2|3|1
1936|1593064215445|1593064214|1593064212229300253|1593064215|3216|1|2|3|1
1937|1593064826979|1593064826|1593064824421454760|1593064826|2558|0|2|2|0
1938|1593065439887|1593065438|1593065437402477770|1593065439|2485|1|1|2|1
1939|1593066052883|1593066052|1593066050410916554|1593066052|2473|0|2|2|0
1940|1593066666479|1593066664|1593066662769539056|1593066666|3710|2|2|4|2
1941|1593067278286|1593067276|1593067275350589824|1593067278|2936|2|1|3|2
1942|1593067890791|1593067890|1593067888341006077|1593067890|2450|0|2|2|0
1943|1593068503549|1593068502|1593068501120516617|1593068503|2429|1|1|2|1
1944|1593069116447|1593069115|1593069113882972142|1593069116|2565|1|2|3|1
1945|1593069729936|1593069728|1593069726843335360|1593069729|3093|1|2|3|1
1946|1593070342355|1593070341|1593070339359079731|1593070342|2996|1|2|3|1
1947|1593070954384|1593070953|1593070951915555574|1593070954|2469|1|2|3|1
1948|1593071567830|1593071567|1593071565341113777|1593071567|2489|0|2|2|0
1949|1593072181678|1593072179|1593072178125811413|1593072181|3553|2|1|3|2
1950|1593072795043|1593072791|1593072790713248238|1593072794|4330|4|1|4|3
1951|1593073406242|1593073404|1593073402869002682|1593073406|3373|2|2|4|2
1952|1593074018914|1593074017|1593074015452287101|1593074018|3462|1|2|3|1
1953|1593074631654|1593074629|1593074628248971920|1593074631|3406|2|1|3|2
1954|1593075243526|1593075242|1593075241048515327|1593075243|2478|1|1|2|1
1955|1593075856411|1593075855|1593075853829908237|1593075856|2582|1|2|3|1
1956|1593076469015|1593076467|1593076466592837259|1593076468|2423|2|1|2|1
1957|1593077081848|1593077081|1593077079354197409|1593077081|2494|0|2|2|0
1958|1593077695221|1593077693|1593077692123344045|1593077695|3098|2|1|3|2
1959|1593078307895|1593078306|1593078305165703006|1593078307|2730|1|1|2|1
1960|1593078920765|1593078919|1593078917725086314|1593078920|3040|1|2|3|1
1961|1593079533149|1593079532|1593079530677166021|1593079533|2472|1|2|3|1
1962|1593080147179|1593080145|1593080143237357084|1593080147|3942|2|2|4|2
1963|1593080758640|1593080757|1593080756187025280|1593080758|2453|1|1|2|1
1964|1593081371695|1593081370|1593081368741952148|1593081371|2954|1|2|3|1
1965|1593081983992|1593081983|1593081981489053774|1593081983|2503|0|2|2|0
1966|1593082596536|1593082595|1593082594075175195|1593082596|2461|1|1|2|1
1967|1593083209391|1593083208|1593083206428145373|1593083209|2963|1|2|3|1
1968|1593083821906|1593083820|1593083819255367536|1593083821|2651|1|1|2|1
1969|1593084434676|1593084433|1593084432220468484|1593084434|2456|1|1|2|1
1970|1593085048180|1593085046|1593085044769902858|1593085048|3411|2|2|4|2
1971|1593085659813|1593085658|1593085657348773209|1593085659|2465|1|1|2|1
1972|1593086272220|1593086271|1593086269719241419|1593086272|2501|1|2|3|1
1973|1593086885957|1593086884|1593086882492957964|1593086885|3465|1|2|3|1
1974|1593087498614|1593087496|1593087495435142444|1593087498|3179|2|1|3|2
1975|1593088110787|1593088109|1593088108058638412|1593088110|2729|1|1|2|1
1976|1593088724318|1593088722|1593088721073480622|1593088724|3245|2|1|3|2
1977|1593089337886|1593089334|1593089333662742745|1593089337|4224|3|1|4|3
1978|1593089949120|1593089948|1593089946437322000|1593089949|2683|1|2|3|1
1979|1593090561721|1593090561|1593090559201486205|1593090561|2520|0|2|2|0
