Msg-num|Receive time [ms]|Mware time [s]|Send time [nm]|Mail time [s]|Send-to-Server[ms]|Mware-to-Server[s]|Send-to-Mware[s]|Send-to-Email[s]|Mware-to-Email[s]
535|1592205533819|1592205533|1592205531213512882|1592205533|2606|0|2|2|0
536|1592206147381|1592206145|1592206143948255014|1592206147|3433|2|2|4|2
537|1592206759617|1592206757|1592206756544923009|1592206759|3073|2|1|3|2
538|1592207372037|1592207371|1592207369547865657|1592207371|2490|1|2|2|0
539|1592207985737|1592207985|1592207983153957665|1592207985|2584|0|2|2|0
540|1592208598701|1592208597|1592208596229772624|1592208598|2472|1|1|2|1
541|1592209214242|1592209211|1592209209546668730|1592209214|4696|3|2|5|3
542|1592209827258|1592209826|1592209822465689879|1592209827|4793|1|4|5|1
543|1592210437500|1592210436|1592210435038926340|1592210437|2462|1|1|2|1
544|1592211050330|1592211049|1592211047801368241|1592211050|2529|1|2|3|1
545|1592211663349|1592211662|1592211660768287939|1592211663|2581|1|2|3|1
546|1592212276659|1592212274|1592212273599409542|1592212276|3060|2|1|3|2
547|1592212888994|1592212888|1592212886531479204|1592212888|2463|0|2|2|0
548|1592213502870|1592213501|1592213499835742316|1592213502|3035|1|2|3|1
549|1592214116316|1592214114|1592214112990728926|1592214116|3326|2|2|4|2
550|1592214729898|1592214729|1592214727182001146|1592214729|2716|0|2|2|0
551|1592215342763|1592215341|1592215339621765787|1592215342|3142|1|2|3|1
552|1592215955695|1592215954|1592215953184857267|1592215955|2511|1|1|2|1
553|1592216567417|1592216567|1592216564978951673|1592216567|2439|0|3|3|0
554|1592217183205|1592217182|1592217180557347938|1592217183|2648|1|2|3|1
555|1592217805657|1592217803|1592217802388213115|1592217805|3269|2|1|3|2
556|1592218421421|1592218420|1592218418799981405|1592218421|2622|1|2|3|1
557|1592219035194|1592219033|1592219031622986313|1592219035|3572|2|2|4|2
558|1592219647806|1592219646|1592219645359090713|1592219647|2447|1|1|2|1
559|1592220273671|1592220272|1592220271126925669|1592220273|2545|1|1|2|1
560|1592220890413|1592220889|1592220887266755326|1592220890|3147|1|2|3|1
561|1592221503945|1592221502|1592221501209420665|1592221503|2736|1|1|2|1
562|1592222121472|1592222120|1592222118557050278|1592222121|2915|1|2|3|1
563|1592222739502|1592222736|1592222734741054803|1592222739|4761|3|2|5|3
564|1592223351020|1592223350|1592223348489324782|1592223350|2531|1|2|2|0
565|1592223964909|1592223964|1592223962428722787|1592223964|2481|0|2|2|0
566|1592224579021|1592224578|1592224576546098368|1592224578|2475|1|2|2|0
567|1592225192232|1592225190|1592225189234825444|1592225192|2998|2|1|3|2
568|1592225804563|1592225803|1592225801986117891|1592225804|2577|1|2|3|1
569|1592226423883|1592226423|1592226421220122973|1592226423|2663|0|2|2|0
570|1592227037897|1592227036|1592227035341479374|1592227037|2556|1|1|2|1
571|1592227651909|1592227649|1592227648500536911|1592227651|3409|2|1|3|2
572|1592228266262|1592228265|1592228263199807841|1592228266|3063|1|2|3|1
573|1592228885237|1592228884|1592228882764851639|1592228885|2473|1|2|3|1
574|1592229498026|1592229496|1592229494768015049|1592229497|3258|2|2|3|1
575|1592230116915|1592230116|1592230114396073688|1592230116|2519|0|2|2|0
576|1592230730909|1592230729|1592230728383035090|1592230730|2526|1|1|2|1
577|1592231343707|1592231343|1592231341219857919|1592231343|2488|0|2|2|0
578|1592231958128|1592231956|1592231954977996012|1592231958|3151|2|2|4|2
579|1592232572004|1592232569|1592232568614699835|1592232571|3390|3|1|3|2
580|1592233183610|1592233182|1592233181014677575|1592233183|2596|1|1|2|1
581|1592233797042|1592233795|1592233794554805140|1592233796|2488|2|1|2|1
582|1592234410823|1592234409|1592234408332361414|1592234410|2491|1|1|2|1
583|1592235026412|1592235025|1592235023894957629|1592235026|2518|1|2|3|1
584|1592235639265|1592235637|1592235636265230906|1592235639|3000|2|1|3|2
585|1592236251118|1592236249|1592236248630757833|1592236251|2488|2|1|3|2
586|1592236864130|1592236863|1592236861587051237|1592236864|2543|1|2|3|1
587|1592237480459|1592237479|1592237477969467199|1592237480|2490|1|2|3|1
588|1592238094486|1592238092|1592238091073767547|1592238094|3413|2|1|3|2
589|1592238709982|1592238707|1592238703763109327|1592238709|6219|2|4|6|2
590|1592239319134|1592239318|1592239316563064303|1592239319|2571|1|2|3|1
591|1592239936827|1592239935|1592239934315198089|1592239936|2512|1|1|2|1
592|1592240557036|1592240555|1592240554110098159|1592240556|2926|2|1|2|1
593|1592241175672|1592241174|1592241173076512643|1592241175|2596|1|1|2|1
594|1592241790340|1592241788|1592241787024944673|1592241790|3316|2|1|3|2
595|1592242408256|1592242406|1592242405661042918|1592242408|2595|2|1|3|2
596|1592243022318|1592243021|1592243019851435419|1592243022|2467|1|2|3|1
597|1592243635869|1592243635|1592243633419259874|1592243635|2450|0|2|2|0
598|1592244249773|1592244247|1592244246040541186|1592244249|3733|2|1|3|2
599|1592244862894|1592244861|1592244860400462094|1592244862|2494|1|1|2|1
600|1592245475023|1592245474|1592245472579097846|1592245474|2444|1|2|2|0
601|1592246088166|1592246087|1592246085554152714|1592246088|2612|1|2|3|1
602|1592246708789|1592246706|1592246705198979661|1592246708|3591|2|1|3|2
603|1592247319553|1592247318|1592247316910936267|1592247319|2643|1|2|3|1
604|1592247932915|1592247931|1592247930421642676|1592247932|2494|1|1|2|1
