Msg-num|Receive time [ms]|Mware time [s]|Send time [nm]|Mail time [s]|Send-to-Server[ms]|Mware-to-Server[s]|Send-to-Mware[s]|Send-to-Email[s]|Mware-to-Email[s]
1520|1592809083525|1592809082|1592809081051559216|1592809083|2474|1|1|2|1
1521|1592809695971|1592809694|1592809692838342480|1592809695|3133|1|2|3|1
1522|1592810307864|1592810305|1592810304588108082|1592810307|3276|2|1|3|2
1523|1592810920626|1592810919|1592810917417274744|1592810920|3209|1|2|3|1
1524|1592811532059|1592811530|1592811529567831428|1592811531|2492|2|1|2|1
1525|1592812145035|1592812143|1592812142519514353|1592812144|2516|2|1|2|1
1526|1592812757804|1592812757|1592812755349835000|1592812757|2455|0|2|2|0
1527|1592813371363|1592813369|1592813368127594767|1592813371|3236|2|1|3|2
1528|1592813983717|1592813983|1592813981150708363|1592813983|2567|0|2|2|0
1529|1592814602700|1592814601|1592814600145654851|1592814602|2555|1|1|2|1
1530|1592815215696|1592815214|1592815213162037028|1592815215|2534|1|1|2|1
1531|1592815828651|1592815827|1592815826148985509|1592815828|2503|1|1|2|1
1532|1592816441285|1592816440|1592816438730437595|1592816441|2555|1|2|3|1
1533|1592817063324|1592817062|1592817060810857748|1592817063|2514|1|2|3|1
1534|1592817683394|1592817681|1592817680733666151|1592817683|2661|2|1|3|2
1535|1592818305562|1592818305|1592818303113546307|1592818305|2449|0|2|2|0
1536|1592818925290|1592818924|1592818922817825143|1592818925|2473|1|2|3|1
1537|1592819537537|1592819535|1592819534411289193|1592819537|3126|2|1|3|2
1538|1592820148907|1592820148|1592820146156731103|1592820148|2751|0|2|2|0
1539|1592820771032|1592820770|1592820768623716578|1592820770|2409|1|2|2|0
1540|1592821390949|1592821389|1592821387655277733|1592821390|3294|1|2|3|1
1541|1592822012884|1592822012|1592822010370861962|1592822012|2514|0|2|2|0
1542|1592822634076|1592822632|1592822630837509428|1592822633|3239|2|2|3|1
1543|1592823253295|1592823251|1592823250650390356|1592823253|2645|2|1|3|2
1544|1592823867846|1592823867|1592823865264111146|1592823867|2582|0|2|2|0
1545|1592824488401|1592824486|1592824485111500597|1592824488|3290|2|1|3|2
1546|1592825108310|1592825107|1592825105829391520|1592825108|2481|1|2|3|1
1547|1592825727014|1592825726|1592825724454130341|1592825726|2560|1|2|2|0
1548|1592826341919|1592826340|1592826338694107981|1592826341|3225|1|2|3|1
1549|1592826956487|1592826953|1592826952165087196|1592826956|4322|3|1|4|3
1550|1592827577090|1592827575|1592827573829722447|1592827577|3261|2|2|4|2
1551|1592828198022|1592828196|1592828194939678321|1592828197|3083|2|2|3|1
1552|1592828820226|1592828814|1592828812586493321|1592828820|7640|6|2|8|6
1553|1592829435905|1592829434|1592829433026491069|1592829435|2879|1|1|2|1
1554|1592830058267|1592830057|1592830055655744306|1592830058|2612|1|2|3|1
1555|1592830679008|1592830677|1592830676490758897|1592830678|2518|2|1|2|1
1556|1592831294605|1592831293|1592831292058676367|1592831294|2547|1|1|2|1
1557|1592831914827|1592831913|1592831912361816359|1592831914|2466|1|1|2|1
1558|1592832531953|1592832530|1592832529221066719|1592832531|2732|1|1|2|1
1559|1592833147922|1592833147|1592833145466531232|1592833147|2456|0|2|2|0
1560|1592833762850|1592833761|1592833760336135789|1592833762|2514|1|1|2|1
1561|1592834378503|1592834377|1592834375980937181|1592834378|2523|1|2|3|1
1562|1592834999487|1592834997|1592834996231720183|1592834999|3256|2|1|3|2
1563|1592835619988|1592835618|1592835616893491943|1592835619|3095|1|2|3|1
1564|1592836236302|1592836234|1592836233487669141|1592836236|2815|2|1|3|2
1565|1592836854695|1592836853|1592836852042265421|1592836854|2653|1|1|2|1
1566|1592837466914|1592837465|1592837464427451960|1592837466|2487|1|1|2|1
1567|1592838079468|1592838078|1592838076966759520|1592838079|2502|1|2|3|1
1568|1592838693150|1592838691|1592838690596942076|1592838693|2554|2|1|3|2
1569|1592839306490|1592839304|1592839303189201654|1592839306|3301|2|1|3|2
1570|1592839918656|1592839918|1592839916130011192|1592839918|2526|0|2|2|0
1571|1592840531489|1592840530|1592840529015111913|1592840531|2474|1|1|2|1
1572|1592841143932|1592841142|1592841141419350253|1592841143|2513|1|1|2|1
1573|1592841756770|1592841756|1592841754230309405|1592841756|2540|0|2|2|0
1574|1592842369182|1592842368|1592842366616206975|1592842369|2566|1|2|3|1
1575|1592842982218|1592842981|1592842979608645402|1592842982|2610|1|2|3|1
1576|1592843595436|1592843593|1592843592158121872|1592843595|3278|2|1|3|2
1577|1592844208115|1592844206|1592844204797331554|1592844208|3318|2|2|4|2
1578|1592844820285|1592844819|1592844817776631343|1592844820|2509|1|2|3|1
1579|1592845434501|1592845431|1592845430565744835|1592845434|3936|3|1|4|3
1580|1592846045861|1592846045|1592846043329255418|1592846045|2532|0|2|2|0
1581|1592846659841|1592846658|1592846656271260181|1592846659|3570|1|2|3|1
1582|1592847271541|1592847270|1592847269055435592|1592847271|2486|1|1|2|1
1583|1592847884995|1592847883|1592847881611781660|1592847884|3384|1|2|3|1
1584|1592848497880|1592848497|1592848495396400893|1592848497|2484|0|2|2|0
1585|1592849111793|1592849109|1592849108418516727|1592849111|3375|2|1|3|2
1586|1592849724964|1592849722|1592849721170264495|1592849724|3794|2|1|3|2
1587|1592850337224|1592850336|1592850334147632450|1592850337|3077|1|2|3|1
1588|1592850949277|1592850948|1592850946703503264|1592850949|2574|1|2|3|1
1589|1592851562908|1592851561|1592851560336866846|1592851562|2572|1|1|2|1
1590|1592852177313|1592852175|1592852173137908876|1592852177|4176|2|2|4|2
1591|1592852788704|1592852787|1592852786081117151|1592852788|2623|1|1|2|1
1592|1592853401565|1592853400|1592853399056144316|1592853401|2509|1|1|2|1
1593|1592854015805|1592854013|1592854011803883372|1592854015|4002|2|2|4|2
1594|1592854627009|1592854626|1592854624405271867|1592854626|2604|1|2|2|0
1595|1592855240134|1592855238|1592855237184536626|1592855240|2950|2|1|3|2
1596|1592855852190|1592855851|1592855849731179717|1592855852|2459|1|2|3|1
1597|1592856465086|1592856463|1592856462290084436|1592856465|2796|2|1|3|2
1598|1592857078591|1592857076|1592857075279946952|1592857078|3312|2|1|3|2
1599|1592857691123|1592857689|1592857688018403874|1592857691|3105|2|1|3|2
1600|1592858303530|1592858302|1592858300990250794|1592858303|2540|1|2|3|1
