Msg-num|Receive time [ms]|Mware time [s]|Send time [nm]|Mail time [s]|Send-to-Server[ms]|Mware-to-Server[s]|Send-to-Mware[s]|Send-to-Email[s]|Mware-to-Email[s]
678|1592293019215|1592293017|1592293016034629918|1592293019|3181|2|1|3|2
679|1592293636655|1592293635|1592293634133697417|1592293636|2522|1|1|2|1
680|1592294249602|1592294248|1592294247123185087|1592294249|2479|1|1|2|1
681|1592294862981|1592294860|1592294859701572175|1592294862|3280|2|1|3|2
682|1592295475683|1592295474|1592295472681473886|1592295475|3002|1|2|3|1
683|1592296087966|1592296086|1592296085433883389|1592296087|2533|1|1|2|1
684|1592296700864|1592296700|1592296698384662562|1592296700|2480|0|2|2|0
685|1592297314600|1592297313|1592297312142220520|1592297314|2458|1|1|2|1
686|1592297928363|1592297926|1592297924930476678|1592297928|3433|2|2|4|2
687|1592298540413|1592298539|1592298537971554178|1592298540|2442|1|2|3|1
688|1592299156051|1592299155|1592299150902032403|1592299155|5149|1|5|5|0
689|1592299766403|1592299765|1592299763885559130|1592299766|2518|1|2|3|1
690|1592300379920|1592300379|1592300377430767670|1592300379|2490|0|2|2|0
691|1592300992729|1592300991|1592300990213852064|1592300992|2516|1|1|2|1
692|1592301611722|1592301610|1592301609190378519|1592301611|2532|1|1|2|1
693|1592302225587|1592302224|1592302223141991132|1592302225|2446|1|1|2|1
694|1592302838855|1592302836|1592302835745371144|1592302838|3110|2|1|3|2
695|1592303451272|1592303450|1592303448515043994|1592303451|2757|1|2|3|1
696|1592304063796|1592304062|1592304060890165731|1592304063|2906|1|2|3|1
697|1592304676185|1592304675|1592304673655935633|1592304676|2530|1|2|3|1
698|1592305288795|1592305287|1592305286045990662|1592305288|2750|1|1|2|1
699|1592305901317|1592305900|1592305898827282662|1592305901|2490|1|2|3|1
700|1592306514120|1592306513|1592306511582406733|1592306514|2538|1|2|3|1
701|1592307126701|1592307125|1592307124154672023|1592307126|2547|1|1|2|1
702|1592307739565|1592307738|1592307736963123176|1592307739|2602|1|2|3|1
703|1592308352042|1592308351|1592308349523834530|1592308351|2519|1|2|2|0
704|1592308964910|1592308963|1592308961694830466|1592308964|3216|1|2|3|1
